date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-10-23,6.36,6.53,6.49,6.27,97440.78,0.2,3.18,6.374,6.368,6.107,108748.79,107211.01,81333.52
2015-10-22,6.09,6.3,6.29,6.06,88441.86,0.23,3.79,6.39,6.319,6.071,116231.8,105835.67,79840.66
2015-10-21,6.6,6.74,6.06,6.03,122406.89,-0.53,-8.04,6.408,6.272,6.036,120257.02,102816.56,77913.03
2015-10-20,6.41,6.74,6.59,6.4,97059.43,0.15,2.33,6.446,6.238,6.009,112215.41,90628.68,76808.96
2015-10-19,6.55,6.76,6.44,6.37,138394.98,-0.13,-1.98,6.392,6.144,5.967,111534.79,83461.43,77394.52
2015-10-16,6.47,6.65,6.57,6.39,134855.83,0.19,2.98,6.362,6.065,5.907,105673.23,74345.68,75787.2
2015-10-15,6.27,6.45,6.38,6.25,108567.99,0.13,2.08,6.248,5.997,5.866,95439.53,64017.98,76301.06
2015-10-14,6.31,6.42,6.25,6.24,82198.81,-0.07,-1.11,6.136,5.943,5.864,85376.11,59780.57,74723.1
2015-10-13,6.26,6.38,6.32,6.19,93656.32,0.03,0.48,6.03,5.916,5.867,69041.94,57782.53,75103.18
2015-10-12,6.02,6.37,6.29,5.98,109087.18,0.29,4.83,5.896,5.881,5.881,55388.08,57601.79,79853.75
2015-10-09,5.87,6.09,6.0,5.77,83687.37,0.18,3.09,5.768,5.845,5.893,43018.12,55456.04,82888.0
2015-10-08,5.88,5.99,5.82,5.79,58250.85,0.17,3.01,5.746,5.822,5.914,32596.43,53845.66,90882.69
2015-10-07,5.7,5.74,5.72,5.7,528.0,0.07,1.24,5.75,5.799,5.924,34185.03,53009.49,95551.35
2015-09-30,5.68,5.75,5.65,5.6,25387.0,0.0,0.0,5.802,5.779,5.911,46523.12,62989.24,100253.19
2015-09-29,5.8,5.81,5.65,5.6,47237.4,-0.24,-4.08,5.866,5.79,5.929,59815.5,71327.61,103444.2
2015-09-28,5.8,5.9,5.89,5.79,31578.91,0.05,0.86,5.922,5.749,5.961,67893.96,77228.73,108690.53
2015-09-25,5.95,6.15,5.84,5.75,66193.84,-0.14,-2.34,5.898,5.734,5.961,75094.89,88584.13,113865.16
2015-09-24,5.85,6.13,5.98,5.85,62218.45,0.01,0.17,5.848,5.785,5.944,71833.95,89665.63,118010.27
2015-09-23,5.78,6.09,5.97,5.73,91848.91,0.04,0.68,5.756,5.817,5.943,79455.37,92423.83,120594.02
2015-09-22,5.77,6.02,5.93,5.75,87629.7,0.16,2.77,5.714,5.881,5.975,82839.72,102105.71,119765.18
2015-09-21,5.48,5.8,5.77,5.39,67583.55,0.18,3.22,5.576,5.941,6.046,86563.5,110319.97,121095.9
2015-09-18,5.55,5.7,5.59,5.46,49889.12,0.07,1.27,5.57,6.005,6.153,102073.37,127919.72,123239.42
2015-09-17,5.68,5.9,5.52,5.46,100325.55,-0.24,-4.17,5.722,6.048,6.296,107497.31,138093.22,130852.73
2015-09-16,5.31,5.76,5.76,5.26,108770.67,0.52,9.92,5.878,6.043,6.444,105392.3,137517.15,138214.74
2015-09-15,5.68,5.78,5.24,5.2,106248.59,-0.5,-8.71,6.048,6.067,6.627,121371.7,135560.79,141544.86
2015-09-14,6.45,6.71,5.74,5.72,145132.91,-0.61,-9.61,6.306,6.173,6.818,134076.43,140152.34,145283.79
2015-09-11,6.21,6.55,6.35,6.21,77008.85,0.05,0.79,6.44,6.187,6.981,153766.07,139146.19,147625.35
2015-09-10,6.51,6.55,6.3,6.26,89800.48,-0.31,-4.69,6.374,6.102,7.099,168689.12,146354.91,149592.76
2015-09-09,6.52,6.92,6.61,6.35,188667.66,0.08,1.23,6.208,6.068,7.228,169641.99,148764.22,155880.72
2015-09-08,5.92,6.57,6.53,5.92,169772.27,0.12,1.87,6.086,6.069,7.347,149749.87,137424.65,160510.2
2015-09-07,6.32,6.61,6.41,6.08,243581.11,0.39,6.48,6.04,6.151,7.431,146228.24,131871.85,162180.8
